"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"64","44","    Domestic business","W997RC1","109,436.0","109,034.0","109,143.0","105,982.0","104,607.0","110,386.0","111,163.0","109,722.0","120,351.0","123,712.0","128,712.0","134,687.0","139,021.0","142,283.0","147,259.0","152,180.0","158,463.0","157,890.0","163,729.0","166,628.0","166,234.0","166,644.0","161,984.0","168,394.0","181,789.0","195,618.0","210,302.0","220,936.0","229,054.0","229,809.0","233,739.0","236,318.0","246,054.0","265,284.0","281,413.0","279,573.0","284,734.0","305,513.0","315,696.0","327,829.0","328,001.0","336,255.0","341,885.0","345,094.0","336,914.0","333,223.0","344,291.0","365,899.0","382,833.0","394,097.0","414,406.0","420,114.0","416,255.0","436,742.0","439,283.0","440,369.0","457,007.0","473,945.0","482,880.0","499,881.0","517,805.0","523,781.0","536,919.0","550,273.0","553,212.0","564,229.0","582,154.0","571,574.0","559,077.0","548,902.0","542,314.0","536,330.0","551,935.0","580,577.0","602,993.0","615,356.0","628,708.0","640,188.0","639,148.0","658,943.0","637,141.0","642,942.0","650,949.0","637,149.0","656,020.0","678,541.0","655,102.0","676,431.0","720,552.0","724,422.0","723,789.0","727,179.0","744,402.0","744,777.0","737,877.0","752,775.0","749,572.0","768,585.0","791,819.0","809,556.0","834,869.0","849,901.0","871,134.0","891,461.0","899,484.0","933,997.0","963,811.0","978,657.0","1,003,697.0","1,001,607.0","1,006,192.0","1,026,155.0","1,057,818.0","1,080,543.0","1,108,493.0","1,108,477.0","1,042,944.0","1,053,124.0","1,069,596.0","1,070,664.0","1,137,181.0","1,153,010.0","1,147,192.0","1,156,720.0","1,136,708.0","1,135,993.0","1,147,309.0","1,131,741.0","1,190,717.0","1,254,169.0","1,255,065.0","1,290,779.0","1,374,396.0","1,391,985.0","1,418,511.0","1,479,297.0","1,464,444.0","1,515,336.0","1,528,442.0","1,532,660.0","1,606,226.0","1,601,500.0","1,648,751.0","1,539,867.0","1,704,774.0","1,739,606.0","1,777,112.0","1,810,628.0","1,813,420.0","1,812,836.0","1,841,583.0","1,795,952.0","1,702,500.0","1,751,113.0","1,712,017.0","1,697,512.0","1,654,689.0","1,707,296.0","1,794,159.0","1,602,478.0","1,900,475.0","1,997,209.0","2,163,765.0","2,239,681.0","2,309,232.0","2,291,405.0","2,373,196.0","2,365,954.0","2,170,769.0","2,292,318.0","2,338,804.0","2,424,867.0","2,360,687.0","2,372,204.0","2,419,869.0","2,209,585.0","2,396,301.0","2,230,992.0","2,463,402.0","2,376,324.0","2,212,933.0","2,349,430.0","2,441,759.0","....."
"65","45","    Households and institutions","W998RC1","80,199.0","84,584.0","97,315.0","98,961.0","103,240.0","110,200.0","117,594.0","119,059.0","123,347.0","130,343.0","130,397.0","129,142.0","124,895.0","120,290.0","126,888.0","146,069.0","140,344.0","151,524.0","156,065.0","172,508.0","169,783.0","161,586.0","163,222.0","180,502.0","173,473.0","214,007.0","185,135.0","186,962.0","183,193.0","181,862.0","182,705.0","178,741.0","167,587.0","181,455.0","194,808.0","207,254.0","213,865.0","204,517.0","214,148.0","220,073.0","235,901.0","228,338.0","227,117.0","236,286.0","249,120.0","267,393.0","281,255.0","303,790.0","292,161.0","295,652.0","336,507.0","359,456.0","351,070.0","358,227.0","359,170.0","333,809.0","335,227.0","310,841.0","312,324.0","333,667.0","373,117.0","387,613.0","409,573.0","401,557.0","348,382.0","382,888.0","321,897.0","351,937.0","369,745.0","380,989.0","355,336.0","345,116.0","380,344.0","310,373.0","339,983.0","384,905.0","384,093.0","402,270.0","415,278.0","416,870.0","451,064.0","426,862.0","421,155.0","439,906.0","450,864.0","469,750.0","460,381.0","461,307.0","485,039.0","485,188.0","485,947.0","529,746.0","560,669.0","586,271.0","562,168.0","540,076.0","553,497.0","528,549.0","487,638.0","483,785.0","469,203.0","488,313.0","482,803.0","506,479.0","546,136.0","509,786.0","511,466.0","503,594.0","513,951.0","513,251.0","526,902.0","517,469.0","521,904.0","546,345.0","523,579.0","545,461.0","625,336.0","608,083.0","598,758.0","567,231.0","578,019.0","503,433.0","481,395.0","492,366.0","532,583.0","543,244.0","555,371.0","517,717.0","564,099.0","548,715.0","711,463.0","516,287.0","690,153.0","698,285.0","643,064.0","655,456.0","665,222.0","695,526.0","729,169.0","708,070.0","707,658.0","748,583.0","721,328.0","755,959.0","600,789.0","582,870.0","578,735.0","637,689.0","757,750.0","725,230.0","699,213.0","720,733.0","750,396.0","728,211.0","703,989.0","713,611.0","826,139.0","1,054,197.0","873,896.0","1,072,982.0","1,076,467.0","1,192,188.0","1,013,932.0","1,018,548.0","981,633.0","1,051,830.0","1,049,265.0","1,031,365.0","1,125,993.0","1,099,030.0","1,117,915.0","1,094,556.0","1,220,275.0","1,264,932.0","1,206,463.0","1,511,142.0","996,330.0","1,069,735.0","1,083,320.0","991,288.0","1,073,764.0","1,105,918.0","1,084,815.0","1,075,570.0"
"66","46","  Gross government saving","A927RC1","40,304.0","37,527.0","31,639.0","28,240.0","19,343.0","9,220.0","2,388.0","-4,053.0","-5,083.0","-10,835.0","-10,015.0","-10,105.0","-577.0","2,879.0","5,531.0","3,921.0","17,472.0","15,047.0","19,136.0","22,520.0","19,903.0","17,848.0","20,862.0","111.0","-25,282.0","-80,023.0","-35,122.0","-34,757.0","-19,705.0","-12,222.0","-13,992.0","-11,513.0","-1,439.0","7,507.0","5,400.0","3,511.0","4,279.0","31,395.0","31,399.0","39,197.0","46,019.0","47,680.0","45,991.0","36,639.0","29,901.0","3,995.0","-3,567.0","10,311.0","35,221.0","30,834.0","26,297.0","-6,606.0","-26,476.0","-30,418.0","-66,138.0","-100,184.0","-98,705.0","-81,021.0","-88,388.0","-59,775.0","-33,235.0","-35,635.0","-45,116.0","-48,401.0","-8,473.0","-56,412.0","-35,154.0","-40,405.0","-29,573.0","-55,563.0","-55,817.0","-25,604.0","-30,194.0","38,042.0","21,158.0","13,201.0","20,066.0","30,226.0","45,634.0","38,997.0","63,750.0","40,000.0","31,241.0","12,249.0","665.0","-8,707.0","-5,130.0","-24,933.0","123.0","-61,196.0","-81,952.0","-107,104.0","-143,518.0","-152,821.0","-170,777.0","-151,283.0","-167,776.0","-123,643.0","-132,080.0","-78,083.0","-67,983.0","-36,519.0","-42,631.0","-50,480.0","-45,604.0","-46,636.0","-35,974.0","-518.0","4,805.0","47,654.0","65,551.0","98,090.0","122,130.0","144,415.0","188,347.0","186,695.0","243,751.0","256,338.0","292,047.0","301,671.0","320,330.0","330,305.0","346,150.0","366,475.0","471,146.0","444,970.0","439,653.0","420,573.0","389,083.0","324,806.0","80,313.0","147,593.0","-54,498.0","-96,900.0","-97,799.0","-140,235.0","-187,892.0","-235,306.0","-273,096.0","-181,442.0","-243,063.0","-206,042.0","-156,837.0","-134,791.0","-42,414.0","-37,373.0","-27,605.0","8,680.0","91,846.0","102,367.0","90,082.0","133,994.0","110,089.0","88,893.0","40,726.0","4,285.0","-110,249.0","-478,693.0","-416,763.0","-484,475.0","-866,033.0","-1,159,281.0","-1,183,988.0","-1,102,817.0","-1,162,066.0","-1,145,315.0","-1,080,264.0","-1,044,170.0","-979,938.0","-1,036,231.0","-975,342.0","-930,429.0","-816,814.0","-840,961.0","-838,181.0","-766,982.0","-462,615.0","-277,790.0","-471,920.0","-259,100.0","-285,837.0","-307,235.0","-305,998.0","....."
"67","47","    Federal","A926RC1","27,411.0","24,079.0","17,330.0","13,852.0","4,647.0","-5,248.0","-11,681.0","-16,452.0","-16,854.0","-23,471.0","-22,564.0","-24,413.0","-15,879.0","-21,465.0","-10,472.0","-27,408.0","-9,154.0","-9,311.0","-4,614.0","-737.0","-1,994.0","-3,740.0","-988.0","-17,154.0","-38,341.0","-94,926.0","-51,626.0","-51,875.0","-41,232.0","-36,029.0","-38,502.0","-41,137.0","-29,615.0","-22,959.0","-29,126.0","-31,016.0","-32,157.0","-11,875.0","-5,082.0","-353.0","10,183.0","11,782.0","7,578.0","-599.0","-8,256.0","-30,435.0","-41,599.0","-33,148.0","-9,456.0","-11,132.0","-16,369.0","-45,198.0","-63,159.0","-67,306.0","-102,272.0","-135,098.0","-130,345.0","-122,861.0","-137,544.0","-113,436.0","-95,998.0","-103,462.0","-108,051.0","-116,228.0","-76,987.0","-124,717.0","-101,829.0","-105,528.0","-103,895.0","-124,749.0","-128,807.0","-91,936.0","-89,956.0","-35,137.0","-44,971.0","-52,438.0","-50,725.0","-40,398.0","-33,839.0","-39,197.0","-14,923.0","-34,931.0","-38,409.0","-41,665.0","-66,618.0","-71,385.0","-64,700.0","-76,383.0","-48,451.0","-106,664.0","-130,321.0","-147,779.0","-184,793.0","-190,543.0","-202,230.0","-187,352.0","-196,604.0","-161,137.0","-171,631.0","-136,729.0","-119,569.0","-89,106.0","-105,939.0","-106,883.0","-102,604.0","-90,031.0","-92,937.0","-70,119.0","-70,564.0","-27,410.0","-17,224.0","10,784.0","31,814.0","50,641.0","84,644.0","80,354.0","130,100.0","144,541.0","175,384.0","175,155.0","202,710.0","219,081.0","228,541.0","243,412.0","336,169.0","307,407.0","315,792.0","312,628.0","292,904.0","256,059.0","33,180.0","128,860.0","-63,932.0","-101,987.0","-111,511.0","-144,386.0","-165,739.0","-232,445.0","-301,191.0","-230,873.0","-265,999.0","-224,802.0","-193,457.0","-198,131.0","-127,750.0","-122,092.0","-117,249.0","-94,401.0","-45,918.0","-44,910.0","-32,015.0","17,543.0","-5,607.0","-40,661.0","-72,467.0","-92,652.0","-187,891.0","-555,721.0","-435,185.0","-451,777.0","-807,387.0","-1,100,721.0","-1,106,102.0","-1,043,000.0","-1,111,763.0","-1,094,306.0","-1,072,285.0","-1,055,195.0","-982,546.0","-1,056,443.0","-972,279.0","-935,663.0","-810,546.0","-834,208.0","-837,308.0","-778,023.0","-480,219.0","-293,979.0","-481,311.0","-268,941.0","-288,032.0","-324,818.0","-335,767.0","....."
"68","48","    State and local","A925RC1","12,893.0","13,448.0","14,309.0","14,388.0","14,696.0","14,468.0","14,069.0","12,399.0","11,771.0","12,636.0","12,549.0","14,308.0","15,302.0","24,344.0","16,003.0","31,329.0","26,626.0","24,358.0","23,750.0","23,257.0","21,897.0","21,588.0","21,850.0","17,265.0","13,059.0","14,903.0","16,504.0","17,118.0","21,527.0","23,807.0","24,510.0","29,624.0","28,176.0","30,466.0","34,526.0","34,527.0","36,436.0","43,270.0","36,481.0","39,550.0","35,836.0","35,898.0","38,413.0","37,238.0","38,157.0","34,430.0","38,032.0","43,459.0","44,677.0","41,966.0","42,666.0","38,592.0","36,683.0","36,888.0","36,134.0","34,914.0","31,640.0","41,840.0","49,156.0","53,661.0","62,763.0","67,827.0","62,935.0","67,827.0","68,514.0","68,305.0","66,675.0","65,123.0","74,322.0","69,186.0","72,990.0","66,332.0","59,762.0","73,179.0","66,129.0","65,639.0","70,791.0","70,624.0","79,473.0","78,194.0","78,673.0","74,931.0","69,650.0","53,914.0","67,283.0","62,678.0","59,570.0","51,450.0","48,574.0","45,468.0","48,369.0","40,675.0","41,275.0","37,722.0","31,453.0","36,069.0","28,828.0","37,494.0","39,551.0","58,646.0","51,586.0","52,587.0","63,308.0","56,403.0","57,000.0","43,395.0","56,963.0","69,601.0","75,369.0","75,064.0","82,775.0","87,306.0","90,316.0","93,774.0","103,703.0","106,341.0","113,651.0","111,797.0","116,663.0","126,516.0","117,620.0","111,224.0","117,609.0","123,063.0","134,977.0","137,563.0","123,861.0","107,945.0","96,179.0","68,747.0","47,133.0","18,733.0","9,434.0","5,087.0","13,712.0","4,151.0","-22,153.0","-2,861.0","28,095.0","49,431.0","22,936.0","18,760.0","36,620.0","63,340.0","85,336.0","84,719.0","89,644.0","103,081.0","137,764.0","147,277.0","122,097.0","116,451.0","115,696.0","129,554.0","113,193.0","96,937.0","77,642.0","77,028.0","18,422.0","-32,698.0","-58,646.0","-58,560.0","-77,886.0","-59,817.0","-50,303.0","-51,009.0","-7,979.0","11,025.0","2,608.0","20,212.0","-3,063.0","5,234.0","-6,268.0","-6,753.0","-873.0","11,041.0","17,604.0","16,189.0","9,391.0","9,841.0","2,195.0","17,583.0","29,769.0","....."
"69","49","  Net domestic investment","W171RC1","113,448.0","108,972.0","111,188.0","99,354.0","94,928.0","95,086.0","95,848.0","86,397.0","102,973.0","108,133.0","110,923.0","103,839.0","116,863.0","128,748.0","129,840.0","136,295.0","150,252.0","158,716.0","148,462.0","160,520.0","145,705.0","151,893.0","138,788.0","141,699.0","99,689.0","87,538.0","109,542.0","119,687.0","146,807.0","155,503.0","155,277.0","157,037.0","175,601.0","199,844.0","215,585.0","214,717.0","218,475.0","255,893.0","272,102.0","289,043.0","283,436.0","291,812.0","293,645.0","285,588.0","286,126.0","235,561.0","196,244.0","242,242.0","302,491.0","276,948.0","305,627.0","289,047.0","218,960.0","219,111.0","210,459.0","166,147.0","178,760.0","224,464.0","263,549.0","325,763.0","394,665.0","419,402.0","433,946.0","427,726.0","397,646.0","414,829.0","406,754.0","432,255.0","427,086.0","413,304.0","394,331.0","385,544.0","408,812.0","407,063.0","401,782.0","457,804.0","400,521.0","417,408.0","411,358.0","422,596.0","452,397.0","438,775.0","428,723.0","416,193.0","429,225.0","422,439.0","398,097.0","338,192.0","298,117.0","293,923.0","306,435.0","330,779.0","309,656.0","356,213.0","355,466.0","376,285.0","386,558.0","390,054.0","378,085.0","425,756.0","452,178.0","508,668.0","491,516.0","527,964.0","533,265.0","497,828.0","478,647.0","499,774.0","513,952.0","568,126.0","613,802.0","608,077.0","638,073.0","688,219.0","708,157.0","706,301.0","754,944.0","731,535.0","772,206.0","807,144.0","846,738.0","824,938.0","848,700.0","886,812.0","852,454.0","948,798.0","919,244.0","918,581.0","798,405.0","789,977.0","728,091.0","636,697.0","704,245.0","712,531.0","706,550.0","702,667.0","713,574.0","715,103.0","785,504.0","849,763.0","847,165.0","933,910.0","959,613.0","993,068.0","1,051,318.0","1,019,802.0","1,045,689.0","1,118,364.0","1,151,692.0","1,131,608.0","1,087,412.0","1,017,194.0","982,345.0","1,008,953.0","978,998.0","916,100.0","810,633.0","773,014.0","701,929.0","498,691.0","229,258.0","110,840.0","82,629.0","204,331.0","255,116.0","373,091.0","442,612.0","413,359.0","341,751.0","408,863.0","403,126.0","554,738.0","568,946.0","595,271.0","579,652.0","529,735.0","550,239.0","579,252.0","667,382.0","671,392.0","590,278.0","712,423.0","747,673.0","781,350.0"
"70","50","    Private","A557RC1","86,320.0","84,378.0","86,995.0","78,825.0","73,227.0","74,364.0","74,543.0","65,054.0","85,392.0","90,851.0","93,233.0","87,280.0","99,553.0","110,843.0","114,328.0","117,882.0","129,151.0","139,172.0","130,916.0","142,512.0","124,561.0","127,666.0","114,893.0","118,356.0","73,996.0","66,647.0","83,237.0","89,971.0","115,069.0","128,635.0","129,748.0","133,401.0","149,587.0","172,228.0","189,636.0","190,505.0","195,427.0","223,089.0","236,187.0","250,338.0","250,594.0","253,952.0","249,832.0","241,310.0","236,891.0","190,256.0","154,416.0","198,934.0","254,696.0","233,397.0","264,487.0","244,613.0","178,950.0","175,612.0","168,246.0","119,769.0","133,222.0","177,756.0","211,619.0","272,319.0","338,262.0","359,351.0","371,865.0","356,813.0","326,494.0","335,072.0","321,445.0","349,955.0","344,826.0","327,815.0","299,862.0","297,788.0","318,858.0","313,435.0","305,755.0","365,432.0","316,493.0","331,535.0","328,246.0","338,373.0","370,507.0","355,852.0","341,280.0","330,835.0","336,033.0","330,396.0","306,903.0","244,536.0","212,482.0","206,690.0","221,250.0","247,551.0","221,960.0","273,068.0","277,456.0","302,932.0","318,924.0","319,533.0","310,996.0","357,983.0","396,925.0","448,230.0","421,405.0","462,069.0","465,612.0","427,187.0","413,146.0","433,660.0","442,934.0","494,635.0","537,596.0","528,926.0","555,369.0","607,669.0","627,466.0","631,648.0","682,801.0","648,759.0","676,587.0","713,395.0","751,138.0","724,321.0","744,024.0","773,628.0","737,696.0","839,238.0","807,043.0","804,746.0","680,509.0","653,823.0","608,391.0","501,045.0","560,684.0","565,977.0","553,775.0","547,484.0","558,579.0","557,308.0","619,674.0","686,761.0","685,057.0","765,076.0","790,622.0","828,761.0","890,233.0","853,543.0","876,443.0","947,021.0","978,302.0","945,869.0","905,433.0","832,951.0","796,704.0","814,460.0","784,270.0","719,642.0","615,314.0","562,943.0","486,270.0","287,242.0","27,709.0","-98,940.0","-126,233.0","7,319.0","69,877.0","173,772.0","242,633.0","222,864.0","175,655.0","247,164.0","248,414.0","404,033.0","437,195.0","462,683.0","457,534.0","422,334.0","459,413.0","486,373.0","576,401.0","586,457.0","530,855.0","639,826.0","676,439.0","703,551.0"
"71","51","      Domestic business","W790RC1","62,023.0","60,459.0","63,526.0","57,543.0","52,329.0","54,564.0","54,192.0","41,974.0","59,795.0","61,120.0","61,093.0","52,966.0","61,688.0","72,025.0","74,715.0","74,762.0","83,380.0","95,087.0","87,907.0","101,948.0","87,437.0","91,932.0","79,264.0","88,157.0","45,359.0","35,682.0","48,196.0","51,533.0","70,805.0","81,272.0","82,954.0","77,259.0","89,379.0","101,189.0","117,169.0","117,848.0","121,155.0","142,250.0","153,687.0","168,163.0","172,542.0","177,436.0","173,265.0","168,485.0","170,982.0","144,770.0","105,605.0","140,412.0","198,391.0","179,805.0","217,837.0","205,590.0","142,769.0","140,616.0","132,670.0","76,978.0","74,325.0","106,044.0","127,121.0","180,721.0","242,442.0","260,290.0","274,317.0","259,145.0","229,574.0","238,092.0","222,405.0","246,438.0","234,013.0","206,403.0","174,183.0","169,119.0","188,733.0","180,059.0","171,300.0","228,509.0","181,472.0","192,028.0","188,261.0","196,289.0","231,166.0","222,652.0","209,260.0","204,127.0","206,846.0","210,106.0","196,564.0","145,355.0","122,190.0","109,671.0","116,567.0","139,222.0","102,848.0","143,865.0","148,021.0","164,583.0","182,779.0","181,172.0","164,479.0","197,843.0","229,259.0","271,550.0","249,535.0","295,526.0","308,186.0","281,974.0","260,643.0","275,153.0","274,283.0","310,753.0","350,091.0","343,575.0","367,404.0","413,570.0","424,995.0","422,521.0","462,525.0","412,595.0","428,015.0","455,360.0","493,477.0","461,221.0","478,875.0","507,436.0","464,250.0","565,272.0","536,344.0","530,690.0","399,899.0","368,789.0","320,002.0","216,308.0","258,423.0","251,853.0","240,387.0","223,236.0","220,923.0","213,202.0","245,161.0","290,719.0","270,871.0","324,135.0","339,329.0","364,932.0","410,403.0","356,229.0","360,730.0","428,285.0","458,673.0","462,022.0","463,951.0","422,341.0","423,323.0","467,973.0","476,120.0","458,103.0","409,838.0","378,826.0","326,358.0","173,265.0","-50,477.0","-152,436.0","-192,223.0","-54,523.0","17,809.0","104,883.0","202,750.0","176,145.0","134,148.0","198,279.0","190,705.0","337,481.0","350,994.0","372,891.0","357,915.0","304,489.0","332,717.0","343,619.0","422,338.0","440,758.0","410,892.0","507,487.0","533,628.0","557,366.0"
"72","52","      Households and institutions","W791RC1","24,298.0","23,918.0","23,469.0","21,282.0","20,898.0","19,800.0","20,350.0","23,080.0","25,597.0","29,731.0","32,139.0","34,314.0","37,864.0","38,818.0","39,613.0","43,120.0","45,770.0","44,085.0","43,009.0","40,563.0","37,123.0","35,734.0","35,627.0","30,198.0","28,636.0","30,964.0","35,042.0","38,438.0","44,265.0","47,362.0","46,793.0","56,144.0","60,209.0","71,038.0","72,465.0","72,657.0","74,272.0","80,840.0","82,500.0","82,176.0","78,050.0","76,515.0","76,567.0","72,825.0","65,910.0","45,487.0","48,811.0","58,521.0","56,305.0","53,592.0","46,651.0","39,022.0","36,181.0","34,995.0","35,576.0","42,792.0","58,897.0","71,712.0","84,497.0","91,599.0","95,820.0","99,061.0","97,548.0","97,670.0","96,919.0","96,980.0","99,040.0","103,516.0","110,814.0","121,412.0","125,680.0","128,669.0","130,125.0","133,375.0","134,455.0","136,923.0","135,021.0","139,508.0","139,985.0","142,083.0","139,341.0","133,200.0","132,020.0","126,708.0","129,187.0","120,291.0","110,337.0","99,180.0","90,293.0","97,018.0","104,683.0","108,329.0","119,112.0","129,202.0","129,435.0","138,347.0","136,145.0","138,360.0","146,518.0","160,140.0","167,666.0","176,680.0","171,871.0","166,543.0","157,425.0","145,213.0","152,503.0","158,507.0","168,652.0","183,881.0","187,505.0","185,351.0","187,965.0","194,099.0","202,472.0","209,127.0","220,276.0","236,164.0","248,571.0","258,035.0","257,662.0","263,100.0","265,149.0","266,193.0","273,448.0","273,965.0","270,699.0","274,056.0","280,610.0","285,033.0","288,389.0","284,737.0","302,261.0","314,123.0","313,388.0","324,247.0","337,655.0","344,107.0","374,514.0","396,041.0","414,186.0","440,940.0","451,293.0","463,830.0","479,831.0","497,313.0","515,712.0","518,737.0","519,629.0","483,847.0","441,483.0","410,611.0","373,382.0","346,486.0","308,150.0","261,540.0","205,476.0","184,118.0","159,913.0","113,977.0","78,185.0","53,494.0","65,990.0","61,842.0","52,067.0","68,890.0","39,883.0","46,719.0","41,507.0","48,885.0","57,709.0","66,552.0","86,201.0","89,793.0","99,618.0","117,845.0","126,698.0","142,755.0","154,063.0","145,699.0","119,963.0","132,339.0","142,811.0","146,186.0"
"73","53","    Government","A889RC1","27,128.0","24,594.0","24,193.0","20,529.0","21,701.0","20,722.0","21,305.0","21,343.0","17,581.0","17,282.0","17,690.0","16,559.0","17,310.0","17,905.0","15,512.0","18,413.0","21,101.0","19,544.0","17,546.0","18,008.0","21,144.0","24,227.0","23,895.0","23,343.0","25,693.0","20,891.0","26,305.0","29,716.0","31,738.0","26,868.0","25,529.0","23,636.0","26,014.0","27,616.0","25,949.0","24,212.0","23,048.0","32,804.0","35,915.0","38,705.0","32,842.0","37,860.0","43,813.0","44,278.0","49,235.0","45,305.0","41,828.0","43,308.0","47,795.0","43,551.0","41,140.0","44,434.0","40,010.0","43,499.0","42,213.0","46,378.0","45,538.0","46,708.0","51,930.0","53,444.0","56,403.0","60,051.0","62,081.0","70,913.0","71,152.0","79,757.0","85,309.0","82,300.0","82,260.0","85,489.0","94,469.0","87,756.0","89,954.0","93,628.0","96,027.0","92,372.0","84,028.0","85,873.0","83,112.0","84,223.0","81,890.0","82,923.0","87,443.0","85,358.0","93,192.0","92,043.0","91,194.0","93,656.0","85,635.0","87,233.0","85,185.0","83,228.0","87,696.0","83,145.0","78,010.0","73,353.0","67,634.0","70,521.0","67,089.0","67,773.0","55,253.0","60,438.0","70,111.0","65,895.0","67,653.0","70,641.0","65,501.0","66,114.0","71,018.0","73,491.0","76,206.0","79,151.0","82,704.0","80,550.0","80,691.0","74,653.0","72,143.0","82,776.0","95,619.0","93,749.0","95,600.0","100,617.0","104,676.0","113,184.0","114,758.0","109,560.0","112,201.0","113,835.0","117,896.0","136,154.0","119,700.0","135,652.0","143,561.0","146,554.0","152,775.0","155,183.0","154,995.0","157,795.0","165,830.0","163,002.0","162,108.0","168,834.0","168,991.0","164,307.0","161,085.0","166,259.0","169,246.0","171,343.0","173,390.0","185,739.0","181,979.0","184,243.0","185,641.0","194,493.0","194,728.0","196,458.0","195,319.0","210,071.0","215,659.0","211,449.0","201,549.0","209,780.0","208,862.0","197,012.0","185,239.0","199,319.0","199,979.0","190,495.0","166,096.0","161,699.0","154,712.0","150,705.0","131,751.0","132,588.0","122,118.0","107,401.0","90,826.0","92,879.0","90,981.0","84,935.0","59,423.0","72,597.0","71,234.0","77,799.0"
"74","54","      Federal","A890RC1","7,308.0","4,680.0","5,076.0","2,724.0","3,932.0","2,980.0","2,116.0","2,488.0","-952.0","-1,428.0","-292.0","-2,128.0","-1,236.0","676.0","-1,920.0","-444.0","1,864.0","828.0","-1,292.0","-1,732.0","-16.0","1,108.0","1,228.0","1,620.0","912.0","-608.0","3,640.0","4,304.0","4,136.0","3,276.0","4,608.0","4,460.0","5,388.0","5,992.0","5,840.0","4,660.0","4,556.0","6,784.0","8,092.0","9,704.0","8,536.0","9,028.0","12,224.0","10,168.0","13,064.0","12,040.0","11,520.0","12,820.0","13,036.0","15,144.0","15,456.0","16,972.0","14,844.0","18,260.0","16,764.0","19,284.0","20,160.0","22,068.0","24,532.0","26,744.0","26,728.0","28,124.0","27,052.0","34,844.0","33,912.0","38,628.0","43,124.0","41,040.0","37,036.0","39,164.0","46,972.0","43,108.0","42,536.0","46,732.0","47,680.0","42,672.0","34,336.0","32,520.0","30,724.0","29,140.0","27,636.0","26,376.0","29,868.0","24,344.0","27,252.0","28,176.0","27,260.0","25,536.0","20,040.0","21,916.0","18,492.0","15,124.0","15,600.0","15,780.0","15,356.0","13,136.0","8,408.0","6,620.0","3,272.0","3,296.0","-5,744.0","-3,524.0","1,076.0","-3,608.0","-2,808.0","-2,936.0","-5,604.0","-5,516.0","1,120.0","-372.0","-2,764.0","-8,424.0","-11,048.0","-10,768.0","-6,744.0","-8,732.0","-8,756.0","-6,028.0","-2,820.0","-6,052.0","-7,152.0","-2,000.0","104.0","1,280.0","-3,660.0","-4,700.0","-3,616.0","-4,472.0","-4,188.0","224.0","2,352.0","3,808.0","7,772.0","13,992.0","19,216.0","20,004.0","21,208.0","26,912.0","27,852.0","28,184.0","28,604.0","31,612.0","35,620.0","33,700.0","31,504.0","33,464.0","36,272.0","32,828.0","36,640.0","39,076.0","35,216.0","38,444.0","34,820.0","40,416.0","40,256.0","38,992.0","39,500.0","50,020.0","53,584.0","54,644.0","44,728.0","49,440.0","52,480.0","51,116.0","49,932.0","55,404.0","55,928.0","57,272.0","43,672.0","42,976.0","37,964.0","35,312.0","25,480.0","27,516.0","24,480.0","17,168.0","5,748.0","1,664.0","-260.0","-5,296.0","-21,068.0","-18,760.0","-21,656.0","-20,228.0"
